1,0.304051121,0.193613418,0.163074998,0.193613418,0.163074998,0.163074998,4.06E-01,0.475531084,0.372579866,4.06E-01,0.23822486
0.304051121,1,0.304051121,0.271481054,0.304051121,0.271481054,0.271481054,4.48E-01,0.421998728,0.351665478,4.48E-01,0.351665478
0.193613418,0.304051121,1,0.163074998,0.193613418,0.163074998,0.163074998,4.67E-01,0.304051121,0.23822486,3.99E-01,0.23822486
0.163074998,0.271481054,0.163074998,1,0.163074998,0.133086931,0.133086931,6.58E-01,0.271481054,0.206873557,6.58E-01,0.206873557
0.193613418,0.304051121,0.193613418,0.163074998,1,0.163074998,0.163074998,3.58E-01,0.304051121,0.23822486,2.90E-01,0.23822486
0.163074998,0.271481054,0.163074998,0.133086931,0.163074998,1,0.687384851,5.50E-01,0.271481054,0.206873557,5.50E-01,0.206873557
0.163074998,0.271481054,0.163074998,0.133086931,0.163074998,0.687384851,1,6.64E-01,0.271481054,0.206873557,6.64E-01,0.206873557
4.06E-01,4.48E-01,4.67E-01,6.58E-01,3.58E-01,5.50E-01,6.64E-01,1.00E+00,9.88E-01,6.64E-01,1.00E+00,1.76E-01
0.475531084,0.421998728,0.304051121,0.271481054,0.304051121,0.271481054,0.271481054,9.88E-01,1,0.549999175,6.64E-01,0.351665478
0.372579866,0.351665478,0.23822486,0.206873557,0.23822486,0.206873557,0.206873557,6.64E-01,0.549999175,1,6.64E-01,0.284037401
4.06E-01,4.48E-01,3.99E-01,6.58E-01,2.90E-01,5.50E-01,6.64E-01,1.00E+00,6.64E-01,6.64E-01,1.00E+00,1.76E-01
0.23822486,0.351665478,0.23822486,0.206873557,0.23822486,0.206873557,0.206873557,1.76E-01,0.351665478,0.284037401,1.76E-01,1
